target,Ebeam,Eprime,theta,xB,Q2,sigma_born,sigma_born_in,sigma_born_qe,sigma_rad,sigma_rad_el,sigma_rad_qe,sigma_rad_dis,coulomb_factor,dis_rc_factor,dis_rc_factor_err
Cu,10.5,6.845,7.441,0.1765,1.2105,16601.0,16591.0,9.9144,17595.0,0.27398,208.46,17386.0,1.0004,0.9435066780335323,0.0
Cu,10.5,5.301,10.05,0.1751,1.7081,3757.0,3756.0,0.95951,4188.3,0.15709,48.888,4139.3,1.0007,0.8970226583578063,0.0
Cu,10.5,3.291,15.05,0.1752,2.3705,647.45,647.38,0.07364,801.05,0.090552,18.486,782.47,1.0012,0.8082516696835405,0.0
Cu,10.5,1.94,22.45,0.1922,3.0876,159.13,159.12,0.0098134,223.41,0.041977,11.66,211.7,1.0027,0.712277874759411,0.0
Cu,10.5,7.572,7.297,0.2344,1.2878,20300.0,20289.0,10.576,20387.0,0.08914,217.59,20169.0,1.0009,0.9957325746799431,0.0
Cu,10.5,6.841,8.85,0.2491,1.7104,7521.3,7519.4,1.9297,7622.9,0.038687,59.495,7563.4,1.0014,0.9866717391019166,0.0
Cu,10.5,5.317,11.91,0.2471,2.4036,1751.3,1751.1,0.20238,1849.3,0.021132,12.975,1836.3,1.0018,0.9470069756123939,0.0
Cu,10.5,3.185,18.51,0.2521,3.4601,273.02,273.01,0.011534,311.5,0.0092776,4.339,307.15,1.0032,0.8764686998394863,0.0
Cu,10.5,2.133,26.11,0.2911,4.5711,76.843,76.842,0.00097868,91.129,0.0012137,2.28,88.848,1.0069,0.8432332188436172,0.0
Cu,10.5,7.955,7.632,0.3099,1.4799,16654.0,16656.0,-1.9298,15981.0,0.0078184,155.89,15826.0,1.0018,1.0421125086039673,0.0
Cu,10.5,7.679,8.523,0.3364,1.7809,8967.4,8969.0,-1.6042,8573.7,0.0016811,68.167,8505.6,1.0024,1.0459194979996966,0.0
Cu,10.5,6.846,10.49,0.3504,2.4028,2900.6,2900.9,-0.24655,2809.2,0.00053553,14.949,2794.2,1.0031,1.032535953296312,0.0
Cu,10.5,4.998,15.03,0.3478,3.5906,510.16,510.16,-0.0062378,515.44,0.00024426,2.1689,513.27,1.0042,0.9897563246934657,0.0
Cu,10.5,3.109,22.39,0.3549,4.922,99.774,99.774,-0.00029326,106.47,0.00011959,0.84099,105.62,1.0071,0.9371090448013525,0.0
Cu,10.5,7.315,10.56,0.4353,2.6017,2341.2,2341.1,0.10821,2182.7,0.00012846,13.111,2169.6,1.0045,1.0726164841709809,0.0
Cu,10.5,6.308,13.46,0.4625,3.6385,596.7,596.66,0.045579,562.8,1.6838e-05,2.1488,560.66,1.006,1.0602345415778254,0.0
